1000,0.130033,0.0534799
2000,0.109247,0.0413334
3000,0.0943546,0.0360007
4000,0.0797305,0.0330399
5000,0.0755745,0.071049
6000,0.0689569,0.0292806
7000,0.0648039,0.0278736
8000,0.0644889,0.027876
9000,0.0633078,0.025975
10000,0.0616606,0.0259113
11000,0.0565413,0.0232454
12000,0.0586322,0.035716
13000,0.0561227,0.047619
14000,0.0541681,0.021809
15000,0.0513904,0.0198126
16000,0.05126,0.0202441
17000,0.0507264,0.0185219
18000,0.0497794,0.0200688
19000,0.0495499,0.0192923
20000,0.0464551,0.018379
21000,0.0463027,0.0191921
22000,0.0462582,0.01901
23000,0.0471992,0.0195125
24000,0.045035,0.0189796
25000,0.0424345,0.0176474
26000,0.0430854,0.0185106
27000,0.0434094,0.0177727
28000,0.042932,0.0170603
29000,0.0439472,0.0170731
